Page,Section,Element,Hebrew Text,Notes
Home,Navigation,Logo Text,The Investor's Circle TLV,Logo + company name
Home,Navigation,Nav Link 1,אודות,Link to About page
Home,Navigation,Nav Link 2,אפיון פיננסי,Link to Profiling page
Home,Navigation,Nav Link 3,למה ת"א,Anchor link
Home,Navigation,Nav Link 4,התהליך,Anchor link
Home,Navigation,Nav Link 5,פרויקטים,Link to Projects
Home,Navigation,Nav Link 6,עסקאות,Anchor link
Home,Navigation,Nav Link 7,שאלות,Anchor link
Home,Navigation,CTA Button,בקשת ייעוץ פרטי,Main CTA button
Home,Hero,Eyebrow,נדל"ן בתל אביב · ליווי פרטי,Small label above title
Home,Hero,H1 Part 1,ההון שלך יכול,Main headline part 1
Home,Hero,H1 Part 2,לעבוד הרבה יותר חכם.,Main headline part 2 (italic)
Home,Hero,Subtitle,אתה כבר יודע שנדל"ן בתל אביב זה הכיוון. השאלה היא רק עם מי — ואיזו עסקה תפספס אם תחכה עוד רבעון.,Hero subtitle
Home,Hero,CTA Button,בוא נדבר ←,Primary CTA
Home,Hero,Note,עד 8 לקוחות ברבעון,Limitation note
Home,Hero,Photo Credit,תל אביב–יפו · חוף הים התיכון,Image attribution
Home,Hero,Scroll Text,גלול,Scroll indicator
Home,Stats,Stat 1 Number,15,Years of experience
Home,Stats,Stat 1 Label,שנות ניסיון בתל אביב,Experience label
Home,Stats,Stat 2 Number,₪22,359,Average monthly salary in Tel Aviv
Home,Stats,Stat 2 Label,שכר ממוצע חודשי בת"א — הגבוה בישראל,Salary label
Home,Stats,Stat 3 Number,+6%,Rental increase 2026
Home,Stats,Stat 3 Label,עלייה בשכירות ב-2026,Rental growth label
Home,Stats,Stat 4 Number,7–12%,Total return average
Home,Stats,Stat 4 Label,תשואה כוללת ממוצעת (שכירות + השבחה),Return label
Home,Identification,Label,מכיר את התחושה?,Small label
Home,Identification,H2 Part 1,כבר עשית את שלך.,Headline part 1
Home,Identification,H2 Part 2,עכשיו תן לכסף לעשות את שלו.,Headline part 2 (gold)
Home,Identification,Intro Text,יש אנשים שיש להם הון פנוי, הם יודעים שנדל"ן בתל אביב זה מהלך נכון — אבל לא רוצים לעשות את זה לבד, לא רוצים מתווכים שמכניסים אותם לעסקה שמתאימה לעמלה שלהם. הם רוצים מישהו שחושב כמוהם.,Introduction paragraph
